Username	User handle	Tweet	Date of posting	Text	Retweet count	Like count
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573271115883253760	Fri Sep 23 11:20:38 +0000 2022	"[Thackeray VS Shinde] 

Bombay High Court paves way for #UddhavThackeray 's Shiv Sena to hold annual Dusshera rally at Shivaji Park on October 5, 2022. https://t.co/FZdyBMgrhk"	15	57
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573270308034957314	Fri Sep 23 11:17:26 +0000 2022	""Unusual Situation"" : Supreme Court Seeks Report From Madras HC Registry On Complaint That Order Was Modified Subsequently In Website @awstika https://t.co/suTkq6R51a	6	7
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573269042382925825	Fri Sep 23 11:12:24 +0000 2022	"Sr Adv Milind Sathe says that as per the GR police permission would be required. 

J Dhanuka - Whatever it is... this order will have to be complied. 

Court has directed the BMC to grant permission."	22	72
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573268354005336064	Fri Sep 23 11:09:40 +0000 2022	https://t.co/TdKeyOyIja	1	24
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573267711266033665	Fri Sep 23 11:07:06 +0000 2022	Permission granted to video record the entire function.	15	72
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573267578134630403	Fri Sep 23 11:06:35 +0000 2022	"#Breaking - Bombay High Court allows #UddhavThackeray led Shiv Sena's petition to hold Dusshera rally at Shivaji Park on October 5, 2022. 

Permision granted from 2nd- 6th

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	88	275
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573267230288384001	Fri Sep 23 11:05:12 +0000 2022	"Order 

BMC's order refusing permission is set aside. Application by petitioner seeking permission from Oct 2-6, 2022 is allowed. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	39	110
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573266989543751680	Fri Sep 23 11:04:14 +0000 2022	"Order 

The petitioner has made out a case for interference and grant of permission. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	16	67
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573266952180613120	Fri Sep 23 11:04:05 +0000 2022	ISRO Espionage Case : Supreme Court Judge Justice KM Joseph Recuses From Hearing CBI's Challenge Against Anticipatory Bail Granted To Accused @Rintumariam https://t.co/vLw3m0QEkN	3	13
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573266508582879232	Fri Sep 23 11:02:20 +0000 2022	"Order 

We are satisfied that in this case the BMC has abused the power by rejecting the application citing another application. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	18	81
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573266193930424326	Fri Sep 23 11:01:05 +0000 2022	"Order 

Mr Chinoy assured the court that there will be no law and order situation if permission is granted. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	4	40
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573266002338807809	Fri Sep 23 11:00:19 +0000 2022	"Order 

In our view BMC's order rejecting the application citing law and order is a clear abuse of process of the law.

It is not the corporation's case that in the last 7 decades there was a law and order situation. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	15	51
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573265722695884802	Fri Sep 23 10:59:12 +0000 2022	"The Supreme Court Bar Association has organised a farewell function in honour of Hon'ble Ms. Justice Indira Banerjee who retires from the Supreme Court today.
#SupremeCourtOfIndia
#JusticeIndiraBanerjee https://t.co/VKEOs6xtrp"	18	164
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573265627883925505	Fri Sep 23 10:58:50 +0000 2022	"The Supreme Court on Friday said that it will list the petitions challenging the abrogation of the special status of Jammu and Kashmir under Article 370 after Dussehra vacations.
Read more: https://t.co/RenB7p8Ila
#SupremeCourt https://t.co/l0szBoql1x"	2	19
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573265616722698240	Fri Sep 23 10:58:47 +0000 2022	"The Supreme Court on Friday said that it will list the petitions challenging the abrogation of the special status of Jammu and Kashmir under Article 370 after Dussehra vacations.
Read more: https://t.co/RenB7p8avC
#SupremeCourt https://t.co/6c3ONhvO7J"	1	7
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573264905717026816	Fri Sep 23 10:55:58 +0000 2022	"Order 

Court is recording citations. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	2	24
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573264227573596165	Fri Sep 23 10:53:16 +0000 2022	"Order 

The BMC was concious of the facts of rival claims .. The decision by the BMC is not a bonafide decision. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	12	57
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573263679151538176	Fri Sep 23 10:51:05 +0000 2022	"Order 

During the arguments we enquired with Mr Sathe when the communication was received by BMC. He said the same day. 

On 21st itself the order was passed. Sr. Counsel didn't explain why the applications before 21st

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	4	23
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573263261306589184	Fri Sep 23 10:49:25 +0000 2022	"Order 

The letter was issued at 18.10pm after the copy of the WP was issued. 

Court records that the same day the police wrote back.

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	2	18
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573262944347246592	Fri Sep 23 10:48:10 +0000 2022	"Order 

This court granted circulation on 21st. 
On 21st the BMC addressed a letter to the police. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	5	22
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573262498337529856	Fri Sep 23 10:46:24 +0000 2022	"Order 

We have perued the application filed by the petitioners on August 22 and 26, 2022. The applications were received by the BMC on the same day, since there was no response, petition was filed. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	2	18
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573262148129935361	Fri Sep 23 10:45:00 +0000 2022	"Order

Prior to 2016, permission has been granted by the BMC to Shiv Sena to hold the Dussehra Melawa at Shivaji park. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	5	23
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573262143642038272	Fri Sep 23 10:44:59 +0000 2022	"Order 

We wanted to clarify, we do not wish to go into the issue as to who is the real Shiv Sena. The matter is pending before the SC and EC. 

#BombayHC #UddhavThackeray #EknathShinde #ShivSena"	2	12
Live Law	@LiveLawIndia	https://twitter.com/LiveLawIndia/status/1573260996147306496	Fri Sep 23 10:40:25 +0000 2022	""Has Become Infructuous"": Supreme Court On Kisan Mahapanchayat Plea For Protest At Satyagraha Against Farm Laws @Rintumariam https://t.co/UAgqH00Lh2	5	13
